Tool names,DOI,Domain,Year Published,Web-based,Controlled access (for web-based): does it require login or sign up or payment?,Command-line,Both,Package manager availability - Anaconda,Package manager availability - Bioconductor,Package manager availability - R package manager (includes CRAN),Package manager availability - Python based package manager (includes pypi),Package manager availability - Other (homebrew and ubuntu),Thread availability,Docker support,Number of releases - Stand alone website,Number of releases - Anaconda,Number of releases for Pypi,Number of releases for CRAN/R,Number of releases for Bioconductor,Number of releases for Github/Sourceforget,Number of Releases per Year for standalone website,Number of releases per year for Anaconda,Number of releases per year for Pypi,Number of releases per year for CRAN,Number of releases per year for Bioconductor,Number of releases per year for github and source forge,Required Expertise,Has_Documentation,Has_Package_Manager,Has_Toy_Examples,Source Code Link,Link is Broken,Storage location - Github / Gitlab / sourceforge / Google code / bitbucket,Storage location anaconda,Storage location mamba,Storage location docker,Storage location python,Storage location bioconductor,Storage location other,Storage location for tools on web server,Comparison to other tools in the original publication - only note whether benchmarked or not.,Tools Benchmarked Against,License,Number of citations,Citations per year
EAGLE,https://doi.org/10.1038/nmeth.4298,Allele specific expression,2017,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1111111111,"1,3",Y,N,Y,https://github.com/davidaknowles/eagle,N,https://github.com/davidaknowles/eagle,,,,,,,,Y,"Spearman correlation method, binomial generalized linear model",No License,152,19
aFC,https://doi.org/10.1101/078717,Allele specific expression,2017,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1111111111,1,Y,N,N,https://github.com/secastel/aFC,N,https://github.com/secastel/aFC,,,,,,,,N,,No License,154,19.25
TensorQTL,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1836-7,Allele specific expression,2019,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,,,,
ANEVA-DOT/ANEVA,https://doi.org/10.1126/science.aay0256,Allele specific expression,2019,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.1428571429,1,Y,N,N,As reference : https://doi.org/10.5281/zenodo.3406690 and https://doi.org/10.5281/zenodo.3406688,N,https://github.com/PejLab/ANEVA-DOT and https://github.com/PejLab/ANEVA,,,https://hub.docker.com/r/weisburd/anevadot,,,,,Y,"Bin-Thr, Beta-Bin, AI z-test",Apache License Version 2.0,111,18.5
Airpart,https://doi.org/10.1093/bioinformatics/btac212,Allele specific expression,2022,N,N,Y,N,Y,Y,N,N,N,N,N,0,1,0,0,46,1,0,0.25,0,0,11.5,0.25,"1,2,3",Y,Y,Y,https://bioconductor.org/packages/airpart,N,https://github.com/Wancen/airpart,https://anaconda.org/bioconda/bioconductor-airpart,,n,n,https://bioconductor.org/packages/release/bioc/html/airpart.html,n,n,Y,"scATAC-seq, scDALI",GPL2,13,4.333333333
POSTRE,https://doi.org/10.1093/nar/gkad225,Allele specific expression,2023,Y,N,Y,Y,N,N,N,N,N,N,N,1,0,0,0,0,1,0.5,0,0,0,0,0.3333333333,"1,3",Y,N,Y,https://github.com/vicsanga/Postre?tab=readme-ov-file#Rfunction,N,https://github.com/vicsanga/Postre?tab=readme-ov-file#Rfunction,n,,n,n,n,n,https://github.com/vicsanga/Postre?tab=readme-ov-file#Rfunction,Y,"CADD-SV, STRVCTVRE, TADA and SVScore",GPL 3,10,5
SMAP design,https://doi.org/10.1093/nar/gkad036,Allele specific expression,2023,N,N,Y,N,N,N,N,N,N,N,N,6,0,0,0,0,1,3,0,0,0,0,0.3333333333,"1,2,3",Y,Y,Y,https://gitlab.com/ilvo/smap-design,N,https://gitlab.com/ilvo/smap-design,n,,n,n,n,n,n,N,n,GNU AFFERO GENERAL PUBLIC LICENSE v3,7,3.5
Revana,https://doi.org/10.1093/bioinformatics/btac831,Allele specific expression,2023,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.3333333333,"1,3",Y,N,Y,https://github.com/KiTZ-Heidelberg/revana,N,https://github.com/KiTZ-Heidelberg/revana,n,,n,n,n,n,n,N,n,gpl 3,0,0
TargetGene,https://doi.org/10.1093/nar/gkad901,Allele specific expression,2024,Y,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,1,0,0,0,0,0,"1,3",Y,N,Y,https://ngdc.cncb.ac.cn/targetgene/,N,n,n,,n,n,n,n,https://ngdc.cncb.ac.cn/targetgene/,N,n,"Free for academic use, contact for commercial use",2,2
xQTLbiolinks,https://doi.org/10.1093/bib/bbad440,Allele specific expression,2024,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,1,1,0,0,0,0,0.5,"1,3",Y,N,Y,https://github.com/lilab-bioinfo/xQTLbiolinks,N,https://github.com/lilab-bioinfo/xQTLbiolinks,n,,n,n,n,https://dingruofan.github.io/xQTLbiolinks/index.html,n,N,n,GPL 3,5,5
PERT,https://doi.org/10.1371/journal.pcbi.1002838,Cell deconvolution,2012,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.07142857143,1,Y,N,N,none,N,https://github.com/gquon/PERT,n,,n,n,n,n,n,N,n,n,152,11.69230769
Seurat,https://doi.org/10.1038/nbt.3192,Cell deconvolution,2015,Y,Y,Y,Y,Y,N,Y,N,N,N,N,0,233,0,1,0,43,0,21.18181818,0,0.09090909091,0,3.909090909,"1,2,3",Y,Y,Y,https://www.nature.com/articles/nbt.3192#MOESM11,N,https://github.com/satijalab/seurat,https://anaconda.org/conda-forge/r-seurat,,https://hub.docker.com/r/satijalab/seurat,n,n,n,n,N,n,MIT License,5620,562
ISOpureR,https://doi.org/10.1186/s12859-015-0597-x,Cell deconvolution,2015,N,N,Y,N,N,N,Y,N,N,N,Y,0,0,0,9,0,9,0,0,0,0.8181818182,0,0.8181818182,"1,2,3",Y,Y,Y,https://cran.r-project.org/web/packages/ISOpureR/index.html,N,https://github.com/cran/ISOpureR,,,https://hub.docker.com/r/chualabnccs/ubuntu-isopurer,,https://cran.r-project.org/web/packages/ISOpureR/index.html,,,N,,GPL2,44,4.4
CellCode,https://doi.org/10.1093/bioinformatics/btv015,Cell deconvolution,2015,N,N,Y,N,N,N,Y,N,N,N,N,1,0,0,1,0,1,0.1,0,0,0.09090909091,0,0.09090909091,2,N,Y,N,https://sites.pitt.edu/~mchikina/CellCODE/,N,https://github.com/mchikina/CellCODE,N,,N,n,https://sites.pitt.edu/~mchikina/CellCODE/,N,N,N,N,N,113,11.3
MCP-counter,https://doi.org/10.1186/s13059-016-1070-5,Cell deconvolution,2016,N,N,Y,N,Y,N,Y,N,N,N,N,0,9,0,1,0,1,0,0.9,0,0.1,0,0.1,"1,2",Y,Y,N,https://zenodo.org/records/61372,N,https://github.com/ebecht/MCPcounter,https://anaconda.org/bioconda/r-mcpcounter,,n,n,https://zenodo.org/records/61372,n,n,Y,CIBERSORT,GNU General Public License v2.0 only,2756,306.2222222
xCell,https://doi.org/10.1186/s13059-017-1349-1,Cell deconvolution,2017,Y,N,Y,N,N,N,N,Y,N,Y,Y,0,0,2,0,0,5,0,0,0.2222222222,0,0,0.5555555556,"1,2",Y,Y,N,"https://github.com/dviraran/xCell,
  http://xcell.ucsf.edu/",N,https://github.com/dviraran/xCell,,,https://hub.docker.com/r/tumordeconv/xcell,https://pypi.org/project/xcell/,,,,Y,"Bindea, Charoentong, Palmer, Rooney, Tirosh, CIBERSORT",GNU 3.0,3513,439.125
SaVant,https://doi.org/10.1186/s12864-017-4167-7,Cell deconvolution,2017,Y,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.125,0,0,0,0,0,0,N,N,N,https://newpathways.mcdb.ucla.edu/savant-dev/,N,0,n,,n,n,n,n,n,Y,"GSEA , BubbleGUM, GSVA , PLAGE, and ssGSEA]",GNU General Public License.,41,5.125
EPIC,https://doi.org/10.7554/elife.26476,Cell deconvolution,2017,Y,N,Y,Y,N,N,N,N,Y,N,N,0,0,0,0,0,4,0,0,0,0,0,0.4444444444,"1,2,3",Y,Y,Y,https://github.com/GfellerLab/EPIC,N,https://github.com/GfellerLab/EPIC,n,,n,n,n,https://manpages.ubuntu.com/manpages/bionic/man1/ and https://formulae.brew.sh/cask/epic#default,https://epic.gfellerlab.org/,Y,"ISOpure, CIBERSORT, DeconRNAseq, DSA, time",Ludwig Institute for Cancer Research Ltd,400,50
WSCUnmix,https://doi.org/10.1371/journal.pcbi.1005815,Cell deconvolution,2017,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1111111111,1,Y,N,N,https://github.com/tedroman/WSCUnmix,N,https://github.com/tedroman/WSCUnmix,N,,N,N,N,N,N,Y,PyClone,the Creative Commons Attribution License,9,1.125
SC3,https://doi.org/10.1038/nmeth.4236,Cell deconvolution,2017,N,N,Y,N,Y,Y,N,N,N,Y,N,0,13,0,0,18,1,0,1.444444444,0,0,2,0.1111111111,"1,2",Y,Y,N,https://bioconductor.org/packages/release/bioc/html/SC3.html,N,https://github.com/hemberg-lab/SC3,https://anaconda.org/bioconda/bioconductor-sc3,,,,https://bioconductor.org/packages/release/bioc/html/SC3.html,,,Y,"tSNE + k-means, pcaReduce, SNN-Cliq, SINCERA, SEURAT",GPL3,1448,181
Dtangle,https://doi.org/10.1093/bioinformatics/bty926,Cell deconvolution,2019,N,N,Y,N,N,N,Y,N,N,N,Y,0,0,0,4,0,1,0,0,0,0.5714285714,0,0.1428571429,"1,2,3",Y,Y,Y,https://dtangle.github.io/,N,https://github.com/gjhunt/dtangle,,,https://hub.docker.com/r/gjhunt/dtangle/,,https://cran.r-project.org/web/packages/dtangle/index.html,,,Y,"CIBERSORT, EPIC, LS Fit, Q Prog, DSA, ssKL, ssFrobenius, deconf",GPL-3,110,18.33333333
CDSeq,https://doi.org/10.1371/journal.pcbi.1007510,Cell deconvolution,2019,N,N,Y,N,N,N,Y,N,N,Y,N,0,0,0,1,0,1,0,0,0,0.1428571429,0,0.1428571429,"2,3",N,Y,Y,https://github.com/kkang7/CDSeq,N,https://github.com/kkang7/CDSeq,,,,,https://cran.r-project.org/src/contrib/Archive/CDSeq/,,,Y,"CIBERSORT, DeconRNAseq, deconf, ssKL, UNDO, csSAM, DSA,",GPL-3,59,9.833333333
deconvSEQ,https://doi.org/10.1093/bioinformatics/btz444,Cell deconvolution,2019,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.1428571429,"1,3",Y,N,Y,https://github.com/rosedu1/deconvSeq,N,https://github.com/rosedu1/deconvSeq,,,https://hub.docker.com/r/btrspg/deconvseq,,,,,Y,"DeconRNASeq, CIBERSORT and MuSiC",GPL-3,39,6.5
Linseed,https://doi.org/10.1038/s41467-019-09990-5,Cell deconvolution,2019,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.1428571429,"1,3",Y,N,Y,https://github.com/ctlab/linseed,N,https://github.com/ctlab/linseed,,,https://hub.docker.com/r/aladyevae/linseed,,,,,N,,MIT license,97,16.16666667
quanTIseq,https://doi.org/10.1186/s13073-019-0638-6,Cell deconvolution,2019,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,8,0,0,0,0,0,1.142857143,0,"1,2,3",Y,Y,Y,https://icbi.i-med.ac.at/software/quantiseq/doc/,N,,,,https://biocontainers.pro/tools/bioconductor-quantiseqr,,https://bioconductor.org/packages/release/bioc/html/quantiseqr.html,,https://icbi.i-med.ac.at/software/quantiseq/doc/,Y,"CIBERSORT, MCPcounter, EPIC, xCell, TIMER","BSD 3-Clause License, GPL-3",1147,191.1666667
Immunedeconv,https://doi.org/10.1093/bioinformatics/btz363,Cell deconvolution,2019,N,N,Y,N,Y,N,N,N,N,N,Y,0,8,0,0,0,13,0,1.142857143,0,0,0,1.857142857,"1,2,3",Y,Y,Y,https://github.com/omnideconv/immunedeconv,N,https://github.com/omnideconv/immunedeconv,https://anaconda.org/bioconda/r-immunedeconv,,https://hub.docker.com/r/alanwucci/immunedeconv,,,,,N,,"GNU 2+(2+ because they specify ""either version 2 of the License, or (at your option) any later version."")",764,127.3333333
MuSiC,https://doi.org/10.1038/s41467-018-08023-x,Cell deconvolution,2019,Y,Y,Y,N,Y,N,N,N,N,N,Y,0,1,0,0,0,1,0,0.1428571429,0,0,0,0.1428571429,"1,2,3",Y,Y,Y,https://github.com/xuranw/MuSiC,N,https://github.com/xuranw/MuSiC,https://anaconda.org/bioconda/r-music,,https://biocontainers.pro/tools/music-deconvolution,,,,,Y,BSEQ-sc and CIBERSORT,GPL-3.0,781,130.1666667
DWLS,https://doi.org/10.1038/s41467-019-10802-z,Cell deconvolution,2019,N,N,Y,N,N,N,Y,N,N,N,Y,0,0,0,1,0,1,0,0,0,0.1428571429,0,0.1428571429,"1,2,3",Y,Y,Y,https://bitbucket.org/yuanlab/dwls/src/default/,Y,https://github.com/dtsoucas/DWLS,,,https://hub.docker.com/r/deconvolution/dwls,,https://cran.r-project.org/web/packages/DWLS/index.html,,,N,,,203,33.83333333
CHETAH,https://doi.org/10.1093/nar/gkz543,Cell deconvolution,2019,N,N,Y,N,Y,Y,N,N,N,N,Y,0,10,0,0,12,1,0,1.428571429,0,0,1.714285714,0.1428571429,"1,2,3",Y,Y,Y,https://github.com/jdekanter/CHETAH and https://github.com/jdekanter/CHETAH_paper_figures,N,https://github.com/jdekanter/CHETAH,,,,,,,,Y,"SingleR, CaSTLe, scmap",AGPL-3.0 License,258,43
scPred,https://doi.org/10.1186/s13059-019-1862-5,Cell deconvolution,2019,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,4,0,0,0,0,0,0.5714285714,"1,3",Y,N,Y,https://github.com/powellgenomicslab/scPred/,N,https://github.com/powellgenomicslab/scPred/,,,https://hub.docker.com/r/derrickd/scpred_cellstates,,,,,Y,"scmap, CaSTLe, singleCellNet, scID",MIT,368,61.33333333
SingleR,https://doi.org/10.1038/s41590-018-0276-y,Cell deconvolution,2019,N,N,Y,N,N,Y,N,Y,N,N,Y,0,0,9,0,11,1,0,0,1.285714286,0,1.571428571,0.1428571429,"1,2,3",Y,Y,Y,https://github.com/dviraran/SingleR,N,https://github.com/dviraran/SingleR,,,https://hub.docker.com/r/scrnaseqbenchmark/singler,https://pypi.org/project/singler/,https://bioconductor.org/packages/release/bioc/html/SingleR.html,,,N,,GPL-3.0,3505,584.1666667
SciBet,https://doi.org/10.1038/s41467-020-15523-2,Cell deconvolution,2020,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.1666666667,"1,3",Y,N,Y,http://scibet.cancer-pku.cn/ and https://github.com/PaulingLiu/scibet,N,,,,https://hub.docker.com/r/jesusgf23/scibet,,,,,Y,Seurat v3 and scmap,BSD-3-Clause License,140,28
Stereoscope,https://doi.org/10.1038/s42003-020-01247-y,Cell deconvolution,2020,N,N,Y,N,N,N,N,Y,N,N,Y,0,0,1,0,0,1,0,0,0.1666666667,0,0,0.1666666667,"1,2,3",Y,Y,Y,https://github.com/almaan/stereoscope,N,https://github.com/almaan/stereoscope,,,https://hub.docker.com/r/smk5g5/stereoscope,https://pypi.org/project/stereoscope/,,,,Y,DWLS and deconvSeq,MIT,368,73.6
GEDIT,https://doi.org/10.1093/gigascience/giab002,Cell deconvolution,2021,N,N,Y,N,N,N,N,N,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,https://github.com/BNadel/GEDIT/tree/master/GEDITv2.2,N,https://github.com/BNadel/GEDIT/tree/master/GEDITv2.2,n,,n,n,n,"https://manpages.ubuntu.com/manpages/bionic/man1/ , https://formulae.brew.sh/formula/gedit#default",n,Y,"CIBERSORT , xCell, dtangle, DeconRNASeq, DCQ, SaVant, MCP-Counter",MIT,43,10.75
AutoGeneS,https://pubmed.ncbi.nlm.nih.gov/34293324/,Cell deconvolution,2021,N,N,Y,N,Y,N,N,Y,N,N,Y,0,1,4,0,0,1,0,0.2,0.8,0,0,0.2,"1,2,3",Y,Y,Y,https://github.com/theislab/AutoGeneS,N,https://github.com/theislab/AutoGeneS,https://anaconda.org/bioconda/autogenes,,http://hub.docker.com/r/deconvolution/autogenes,https://pypi.org/project/autogenes/#description,n,n,n,Y,,MIT,82,20.5
DSTG,https://doi.org/10.1093/bib/bbaa414,Cell deconvolution,2021,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,2,0,0,0,0,0,0.4,3,N,N,Y,https://github.com/Su-informatics-lab/DSTG,N,https://github.com/Su-informatics-lab/DSTG,,,,,,,,Y,SPOTlight,MIT License,176,44
SpatialDWLS,https://doi.org/10.1186/s13059-021-02362-7,Cell deconvolution,2021,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,Y,"MuSiC, RCTD, SPOTlight, Stereoscope",MIT License,233,
SPOTlight,https://doi.org/10.1093/nar/gkab043,Cell deconvolution,2021,N,N,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,6,1,0,0,0,0,1.2,0.2,"1,2,3",Y,Y,Y,"https://github.com/MarcElosua/SPOTlight , https://github.com/MarcElosua/SPOTlight_deconvolution_analysis/",N,https://github.com/MarcElosua/SPOTlight,,,https://hub.docker.com/r/marcelosua/spotlight_env_r,,https://bioconductor.org/packages/release/bioc/html/SPOTlight.html,,,Y,"MuSiC, SCC, NMFreg, DeconRNAseq, RCTD, CIBERSORTx, SPOTlight-CoGAPS",GPL-3.0,492,123
SCDC,https://doi.org/10.1093/bib/bbz166,Cell deconvolution,2021,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.2,"1,3",Y,N,Y,https://meichendong.github.io/SCDC/,N,https://github.com/meichendong/SCDC/,,,https://hub.docker.com/r/deconvolution/scdc,,,,,Y,"BseqSC, CIBERSORTx, DWLS, Bisque, and MuSiC",No license in neither the github webpage nor the github repo page,229,57.25
scSorter,https://doi.org/10.1186/s13059-021-02281-7,Cell deconvolution,2021,N,N,Y,N,N,N,Y,N,N,N,N,0,0,1,0,0,0,0,0,0.2,0,0,0,"1,2",Y,Y,N,https://cran.r-project.org/web/packages/scSorter/index.html,N,n,n,,n,n,https://cran.r-project.org/web/packages/scSorter/index.html,n,n,Y,"Garnett, SCINA, CellAssign, SC3+Correlation",GPL-3,91,22.75
STdeconvolve,https://doi.org/10.1038/s41467-022-30033-z,Cell deconvolution,2022,N,N,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,1,1,0,0,0,0,0.25,0.25,"1,2,3",Y,Y,Y,https://github.com/JEFworks-Lab/STdeconvolve,N,https://github.com/JEFworks-Lab/STdeconvolve,,,https://hub.docker.com/r/archang/stdeconvolve,,https://bioconductor.org/packages/release/bioc/html/STdeconvolve.html,,,Y,,GPL-3,154,51.33333333
DestVI,https://doi.org/10.1038/s41587-022-01272-8,Cell deconvolution,2022,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,https://hub.docker.com/r/csangara/sp_destvi,,,,,N,,,148,49.33333333
Cell2Location,https://doi.org/10.1038/s41587-021-01139-4,Cell deconvolution,2022,N,N,Y,N,N,N,N,Y,N,Y,Y,0,0,5,0,0,9,0,0,1.25,0,0,2.25,"1,2,3",Y,Y,Y,https://github.com/BayraktarLab/cell2location/,N,https://github.com/BayraktarLab/cell2location/,,,https://hub.docker.com/r/prete/cell2location and https://cell2location.readthedocs.io/en/latest/dockersingularity.html,https://pypi.org/project/cell2location/,,,,Y,"Stereoscope, RCTD, Seurat, SPOTlight, NNLS (AutoGeneS)",Apache License Version 2.0,679,226.3333333
RCTD,https://doi.org/10.1038/s41587-021-00830-w,Cell deconvolution,2022,Y,Y,Y,Y,N,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.25,"1,3",Y,N,Y,https://github.com/dmcable/spacexr,N,https://github.com/dmcable/spacexr,,,https://hub.docker.com/r/skydashan/rctd,,,,,Y,"unsupervised clustering, NMFreg (developed for Slide-seq), and DWLS",GPL3,731,243.6666667
scDALI,https://doi.org/10.1186/s13059-021-02593-8,Cell deconvolution,2022,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.25,"1,3",Y,N,Y,https://github.com/PMBio/scdali and https://github.com/PMBio/scdali_analyses and https://zenodo.org/records/5710797,N,https://github.com/PMBio/scdali and https://github.com/PMBio/scdali_analyses for the experiments,,,,,,https://zenodo.org/records/5710797,,Y,ANOVA,BSD-3-Clause License,13,4.333333333
GraphST,https://doi.org/10.1038/s41467-023-36796-3,Cell deconvolution,2023,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.3333333333,"1,2,3",Y,Y,Y,https://github.com/JinmiaoChenLab/GraphST,N,https://github.com/JinmiaoChenLab/GraphST,n,,https://hub.docker.com/search?q=GraphST,n,n,n,n,Y,"Seurat , Giotto, SpaGCN, SpaceFlow, conST, BayesSpace, and STAGATE",GNU AFFERO GENERAL PUBLIC LICENSE,256,128
pyInfinityFlow,https://doi.org/10.1093/bioinformatics/btad287,Cell deconvolution,2023,N,N,Y,N,N,Y,N,Y,N,N,N,0,0,11,0,46,1,0,0,3.666666667,0,15.33333333,0.3333333333,"1,2,3",Y,Y,Y,https://github.com/KyleFerchen/pyInfinityFlow,N,https://github.com/KyleFerchen/pyInfinityFlow,n,,n,https://pypi.org/project/pyInfinityFlow/,https://www.bioconductor.org/packages/release/bioc/html/infinityFlow.html,n,n,N,n,MIT,2,1
EnDecon,https://doi.org/10.1093/bioinformatics/btac825,Cell deconvolution,2023,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.3333333333,"1,3",Y,N,Y,https://github.com/Zhangxf-ccnu/EnDecon,N,https://github.com/Zhangxf-ccnu/EnDecon,,,,,,,,Y,"CARD, Cell2location, DeconRNASeq, DestVI, DWLS, MuSiC, RCTD, SCDC, SpatialOWLS, SPOTlight, STdeconvolve, Stereoscope, SVR",,18,9
Samtools,https://doi.org/10.1093/bioinformatics/btp352,Data quality control,2009,Y,Y,Y,N,Y,N,N,N,N,Y,Y,0,0,0,0,33,26,0,0,0,0,1.941176471,1.529411765,"1,2,3",Y,Y,Y,https://samtools.sourceforge.net/,N,https://github.com/samtools/samtools,https://anaconda.org/bioconda/samtools,,https://hub.docker.com/r/biocontainers/samtools,,https://www.bioconductor.org/packages/release/bioc/html/Rsamtools.html,,,N,,MIT,56507,3531.6875
